Decaf Colombia
Run #01
elapsed, t_avg(10)
08:06.5, 217.5
08:07.5, 216.2
08:08.5, 214.8
08:09.4, 213.5
08:10.4, 212.0
08:11.3, 210.8
08:12.3, 209.4
08:13.2, 208.0
08:14.2, 206.8
08:15.1, 205.3
08:16.1, 204.3
08:17.0, 203.1
08:18.0, 202.1
08:18.9, 201.1
08:19.9, 200.1
08:20.9, 198.9
08:21.8, 198.0
08:22.8, 197.2
08:23.7, 196.1
08:24.7, 195.0
08:25.6, 194.0
08:26.6, 193.2
08:27.5, 192.2
08:28.5, 191.3
08:29.4, 190.5
08:30.4, 189.6
08:31.3, 188.5
08:32.3, 187.7
08:33.2, 187.0
08:34.2, 186.1
08:35.1, 185.1
08:36.1, 184.1
08:37.0, 183.7
08:38.0, 184.5
08:38.9, 185.6
